yr,sex,FirstForename,number,rank,position
2000,B,Jack,830,1,1
2000,B,Lewis,786,2,2
2000,B,Ryan,678,3,3
2000,B,Cameron,672,4,4
2000,B,James,520,5,5
2000,B,Andrew,490,6,6
2000,B,Liam,472,7,    7=
2000,B,Matthew,472,7,    7=
2000,B,Jamie,470,9,9
2000,B,Callum,466,10,10
2000,B,Ross,449,11,11
2000,B,Jordan,436,12,12
2000,B,Daniel,429,13,13
2000,B,Kieran,420,14,14
2000,B,Connor,409,15,15
2000,B,Scott,400,16,16
2000,B,Kyle,391,17,17
2000,B,David,372,18,18
2000,B,Adam,365,19,19
2000,B,Dylan,352,20,20
2000,B,Michael,326,21,21
2000,B,Ben,305,22,22
2000,B,Thomas,302,23,23
2000,B,Craig,296,24,24
2000,B,Nathan,295,25,25
2000,B,Sean,292,26,26
2000,B,John,262,27,27
2000,B,Aaron,250,28,28
2000,B,Calum,249,29,29
2000,B,Christopher,243,30,30
2000,B,Alexander,238,31,31
2000,B,Robert,237,32,32
2000,B,Euan,230,33,33
2000,B,Joshua,228,34,34
2000,B,Declan,222,35,35
2000,B,Aidan,221,36,36
2000,B,Mark,211,37,37
2000,B,Robbie,208,38,38
2000,B,Luke,207,39,39
2000,B,Fraser,200,40,   40=
2000,B,Reece,200,40,   40=
2000,B,William,191,42,42
2000,B,Ewan,183,43,43
2000,B,Joseph,176,44,44
2000,B,Paul,166,45,45
2000,B,Brandon,161,46,46
2000,B,Lee,159,47,47
2000,B,Owen,154,48,48
2000,B,Josh,151,49,49
2000,B,Samuel,150,50,50
2000,B,Finlay,147,51,51
2000,B,Stuart,145,52,52
2000,B,Rhys,142,53,   53=
2000,B,Stephen,142,53,   53=
2000,B,Rory,137,55,55
2000,B,Jake,136,56,56
2000,B,Steven,135,57,57
2000,B,Sam,132,58,58
2000,B,Jay,119,59,59
2000,B,Benjamin,118,60,60
2000,B,Ethan,112,61,   61=
2000,B,Harry,112,61,   61=
2000,B,Shaun,107,63,63
2000,B,Aiden,106,64,   64=
2000,B,Darren,106,64,   64=
2000,B,Blair,105,66,66
2000,B,Marc,104,67,67
2000,B,Dean,102,68,68
2000,B,Taylor,94,69,69
2000,B,Angus,93,70,70
2000,B,Gregor,89,71,71
2000,B,Conor,87,72,   72=
2000,B,Jonathan,87,72,   72=
2000,B,Patrick,85,74,74
2000,B,Ciaran,82,75,75
2000,B,Greg,81,76,76
2000,B,Jason,79,77,77
2000,B,George,77,78,78
2000,B,Logan,76,79,79
2000,B,Peter,72,80,80
2000,B,Bradley,69,81,81
2000,B,Max,67,82,82
2000,B,Arran,65,83,   83=
2000,B,Mohammed,65,83,   83=
2000,B,Morgan,65,83,   83=
2000,B,Oliver,65,83,   83=
